"Costs for inland shipping","Yurtiçi Kapıda Ödeme Hizmet Bedeli"
"Costs for inland shipping (minimum)","Yurtiçi Kapıda Ödeme Hizmet Bedeli (en az)"
"Costs for shipping to foreign countries","Yurt Dışı Kapıda Ödeme Hizmet Bedeli"
"Costs for shipping to foreign countries (minimum)","Yurt Dışı Kapıda Ödeme Hizmet Bedeli (minimum)"
"Custom text for checkout page","Alışveriş tamamlama sayfası için yazı"
"Cash on Delivery","Kapıda Ödeme"
"Cash on Delivery fee","Kapıda Ödeme Hizmet Bedeli"
"You will be charged an extra fee of %s.","Siparişinize Kapıda Ödeme Hizmeti için %s ücret eklenecektir."
"Incl. Tax","KDV Dahil"
"Cash on Delivery fee (Excl.Tax)","Kapıda Ödeme Hizmet Bedeli"
"Cash on Delivery fee (Incl.Tax)","Kapıda Ödeme Hizmet Bedeli"
"Cash on Delivery fee (Excl. Tax)","Kapıda Ödeme Hizmet Bedeli"
"Cash on Delivery fee (Incl. Tax)","Kapıda Ödeme Hizmet Bedeli"
"Cash on Delivery fee %s","Kapıda Ödeme Hizmet Bedeli %s"
"Refund Cash on Delivery fee","Kapıda Ödeme Hizmet Bedeli İadesi"
"Cost calculation","Ücret hesaplama"
"Fixed","Sabit"
"Percentage","Yüzde"
"Cost calculation base","Ücret hesaplama alanı"
"Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation.","Maliyet hesaplamada sales_flat_quote_address tablosundaki alanlardan veri alınmaktador. Lütfen bu tablodan maliyet hesaplamasında temel alınacak bir alan adı girin."
"Refund Cash on Delivery fee","Kapıda Ödeme Hizmet Bedeli İadesi"
"Cash on Delivery Tax","Kapıda Ödeme Hizmet Bedeli Vergisi"
